,ACCX_25,ACCX_50,ACCX_75,ACCY_25,ACCY_50,ACCY_75,ACCZ_25,ACCZ_50,ACCZ_75,GYRX_25,GYRX_50,GYRX_75,GYRY_25,GYRY_50,GYRY_75,GYRZ_25,GYRZ_50,GYRZ_75,label
99,1.072265625,1.07421875,1.078125,1.95703125,1.958984375,1.962890625,-1.7314453125,-1.720703125,-1.7177734375,-237.125,245.25,248.25,-247.375,-246.875,-246.375,-249.625,-249.0,247.25,3.0
100,1.0546875,1.064453125,1.076171875,1.884765625,1.8984375,1.935546875,-1.8271484375,-1.787109375,-1.7587890625,-242.25,229.25,244.75,-248.125,-245.5,-242.75,-246.375,243.75,247.75,3.0
101,-1.5478515625,-1.42578125,-1.318359375,1.1181640625,1.24609375,1.31396484375,-1.736572265625,-1.58056640625,-1.507080078125,-149.0625,162.375,229.4375,-181.78125,-32.25,164.0,-169.15625,4.4375,204.75,0.0
102,-1.72900390625,-1.2353515625,-0.999755859375,1.20751953125,1.470703125,1.70947265625,-1.392578125,-1.21630859375,-0.40576171875,-194.0,-123.0,156.5,-192.71875,-152.25,58.75,-162.0,153.0,201.75,2.0
103,-1.75830078125,-1.720703125,-1.481689453125,0.8984375,1.06640625,1.11328125,-1.9169921875,0.056640625,1.943359375,-174.0,-102.0,154.75,-162.5625,0.5,104.75,-224.0,194.0,227.5,1.0
104,-1.8193359375,-1.7783203125,-1.613037109375,1.0,1.099609375,1.162109375,-1.755859375,-1.515625,1.666015625,-151.375,196.875,231.5,-193.53125,-129.28125,-60.28125,-231.875,212.375,234.6875,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,-1.36865234375,-1.1376953125,1.40234375,-1.871337890625,1.158203125,1.822265625,-1.232421875,-0.8896484375,0.8779296875,-193.4375,144.0,207.9375,-164.3125,-129.5,7.375,-63.6875,195.5,208.1875,2.0
107,-1.56005859375,-1.3671875,-1.111328125,1.025390625,1.400390625,1.626953125,-1.8232421875,1.578125,1.720703125,-35.875,107.0,192.0,-187.0,-87.75,52.75,-209.375,-178.75,199.0,0.0
108,-1.6689453125,-1.5712890625,-1.48046875,0.9921875,1.12109375,1.224609375,-1.8984375,-1.7119140625,1.8984375,-155.75,-108.875,137.0625,-69.25,41.0,159.75,-208.125,204.0,234.0,1.0
109,-1.689453125,-1.56689453125,-1.4462890625,1.37353515625,1.6015625,1.74609375,-1.287841796875,-0.9365234375,1.181640625,-160.125,-44.375,209.5625,-180.125,0.0,207.75,-191.375,15.75,179.25,2.0
110,-1.751220703125,-1.537109375,1.759765625,0.6796875,1.056640625,1.416015625,-1.794921875,-1.3583984375,1.494140625,-158.5,0.0,101.5,-183.375,-110.0,87.25,-220.75,-142.75,149.25,0.0
111,-1.6591796875,-1.4765625,-1.173828125,0.8828125,1.13671875,1.43603515625,-1.7998046875,-1.5595703125,1.787109375,-76.3125,76.25,208.375,-151.65625,-37.25,99.5,-173.375,5.875,209.5,0.0
112,-1.830078125,-1.62841796875,1.77001953125,0.841796875,1.05859375,1.3779296875,-1.80078125,-1.72216796875,1.728515625,-216.75,202.5,226.0,-184.375,-124.125,112.5625,-171.1875,128.25,204.25,0.0
113,-1.734375,-1.5205078125,-1.33203125,1.11376953125,1.248046875,1.283203125,1.3671875,1.515625,1.69775390625,-160.90625,86.0,206.0,-93.0,153.75,184.4375,-59.9375,156.25,209.0625,1.0
114,-1.58984375,-1.580078125,-1.56640625,-1.47265625,-1.4658203125,-1.4560546875,1.224609375,1.23828125,1.248046875,-247.625,247.25,248.5,-248.0,-244.875,-241.0,-247.625,-243.5,248.25,3.0
115,-1.5693359375,-1.552734375,-1.541015625,-1.591796875,-1.58203125,-1.576171875,1.1640625,1.177734375,1.18359375,-248.875,246.25,248.75,-247.5,-245.5,-243.875,-248.875,-247.25,248.5,3.0
116,-1.672119140625,-1.4580078125,-1.2666015625,1.083984375,1.1865234375,1.45751953125,1.4267578125,1.552734375,1.65625,-179.375,-8.25,171.75,0.0,105.375,184.9375,-217.34375,8.9375,224.0,1.0
117,-1.56005859375,-1.4658203125,-1.330078125,1.02880859375,1.15625,1.31982421875,-1.884765625,-1.7802734375,1.556640625,-137.0,137.5,170.0,-189.53125,-59.875,126.0625,-167.0,178.25,209.5,0.0
118,-1.703125,-1.48828125,-1.36083984375,1.0625,1.1640625,1.267578125,-1.753173828125,1.3935546875,1.58642578125,-184.625,-39.25,199.5625,-76.53125,61.125,149.5,-186.96875,137.25,220.5,1.0
119,-1.515625,-1.392578125,-1.283203125,1.15087890625,1.5166015625,1.6767578125,-0.9755859375,-0.7080078125,1.19921875,-180.25,-151.0,97.75,-154.1875,-100.0625,116.125,-226.5,-105.25,156.4375,2.0
120,1.4609375,1.46875,1.484375,1.1875,1.1953125,1.205078125,1.876953125,1.888671875,1.904296875,-246.875,246.5,248.25,-247.875,-246.125,-243.875,-248.875,-247.75,247.75,3.0
121,-1.79736328125,-1.62109375,1.4873046875,0.95654296875,1.12109375,1.22216796875,-1.83935546875,-1.68359375,-1.51904296875,-230.5,163.0,227.75,-135.6875,-79.6875,9.875,-159.5,43.5625,197.4375,0.0
122,-1.595703125,-1.3486328125,-1.103515625,1.55078125,1.712890625,1.873046875,-1.057373046875,-0.75244140625,0.849609375,-199.75,-80.5,222.5,-169.5,-131.625,66.75,-160.0,222.5,231.25,2.0
123,-1.2470703125,-1.13671875,-1.003662109375,-1.717041015625,1.662109375,1.82421875,-1.37109375,-1.33056640625,-0.962890625,-186.625,201.875,226.5,-224.625,-175.875,59.8125,-237.71875,-214.625,-97.6875,2.0
124,-1.255615234375,-1.04296875,1.39013671875,-1.84765625,1.5576171875,1.8125,-1.291748046875,-1.14453125,-0.4189453125,-192.0,159.5,201.25,-194.5,-127.9375,9.1875,-125.46875,150.75,214.75,2.0
125,-1.680908203125,-1.63720703125,-1.349609375,1.322265625,1.43359375,1.697265625,-1.20703125,-0.96875,0.537109375,-179.25,-76.75,91.4375,-206.90625,-21.5,120.0,-200.375,0.0,155.0,2.0
126,-1.83447265625,-1.68115234375,1.78564453125,0.7421875,0.953125,1.2373046875,-1.7861328125,-1.37548828125,1.263671875,-165.5,-16.5625,94.4375,-135.5,-30.875,107.25,-194.96875,-61.9375,186.875,0.0
127,-1.822265625,1.35546875,1.666015625,0.71484375,0.95703125,1.40234375,-1.85693359375,-1.767578125,1.919921875,-190.5,196.75,235.25,-172.0,-112.375,98.5,-183.75,140.25,192.5,0.0
